route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
D,DU,DU253,Santo Ovídio,1,,DR
D,DU,DU254,Santo Ovídio,1,,DR
D,DU,DU255,Santo Ovídio,1,,DR
D,DU,DU256,Santo Ovídio,1,,DR
D,DU,DU257,Santo Ovídio,1,,DR
D,DU,DU258,Santo Ovídio,1,,DR
D,DU,DU259,Santo Ovídio,1,,DR
D,DU,DU260,Santo Ovídio,1,,DR
D,DU,DU261,Santo Ovídio,1,,DR
D,DU,DU262,Santo Ovídio,1,,DR
D,DU,DU263,Santo Ovídio,1,,DR
D,DU,DU264,Santo Ovídio,1,,DR
D,DU,DU265,Santo Ovídio,1,,DR
D,DU,DU266,Santo Ovídio,1,,DR
D,DU,DU267,Santo Ovídio,1,,DR
D,DU,DU268,Santo Ovídio,1,,DR
D,DU,DU269,Santo Ovídio,1,,DR
D,DU,DU270,Santo Ovídio,1,,DR
D,DU,DU271,Santo Ovídio,1,,DR
D,DU,DU272,Santo Ovídio,1,,DR
D,DU,DU273,Santo Ovídio,1,,DR
D,DU,DU274,Santo Ovídio,1,,DR
D,DU,DU275,Santo Ovídio,1,,DR
D,DU,DU276,Santo Ovídio,1,,DR
D,DU,DU277,Santo Ovídio,1,,DR
D,DU,DU278,Santo Ovídio,1,,DR
D,DU,DU279,Santo Ovídio,1,,DR
D,DU,DU280,Santo Ovídio,1,,DR
D,DU,DU281,Santo Ovídio,1,,DR
D,DU,DU282,Santo Ovídio,1,,DR
D,DU,DU283,Santo Ovídio,1,,DR
D,DU,DU284,Santo Ovídio,1,,DR
D,DU,DU285,Santo Ovídio,1,,DR
D,DU,DU286,Santo Ovídio,1,,DR
D,DU,DU287,Santo Ovídio,1,,DR
D,DU,DU288,Santo Ovídio,1,,DR
D,DU,DU289,Santo Ovídio,1,,DR
D,DU,DU290,Santo Ovídio,1,,DR
D,DU,DU291,Santo Ovídio,1,,DR
D,DU,DU292,Santo Ovídio,1,,DR
D,DU,DU293,Santo Ovídio,1,,DR
D,DU,DU294,Santo Ovídio,1,,DR
D,DU,DU295,Santo Ovídio,1,,DR
D,DU,DU296,Santo Ovídio,1,,DR
D,DU,DU297,Santo Ovídio,1,,DR
D,DU,DU298,Santo Ovídio,1,,DR
D,DU,DU299,Santo Ovídio,1,,DR
D,DU,DU300,Santo Ovídio,1,,DR
D,DU,DU301,Santo Ovídio,1,,DR
D,DU,DU302,Santo Ovídio,1,,DR
D,DU,DU303,Santo Ovídio,1,,DR
D,DU,DU304,Santo Ovídio,1,,DR
D,DU,DU305,Santo Ovídio,1,,DR
D,DU,DU306,Santo Ovídio,1,,DR
D,DU,DU307,Santo Ovídio,1,,DR
D,DU,DU308,Santo Ovídio,1,,DR
D,DU,DU309,Santo Ovídio,1,,DR
D,DU,DU310,Santo Ovídio,1,,DR
D,DU,DU311,Santo Ovídio,1,,DR
D,DU,DU312,Santo Ovídio,1,,DR
D,DU,DU313,Santo Ovídio,1,,DR
D,DU,DU314,Santo Ovídio,1,,DR
D,DU,DU315,Santo Ovídio,1,,DR
D,DU,DU316,Santo Ovídio,1,,DR
D,DU,DU317,Santo Ovídio,1,,DR
D,DU,DU318,Santo Ovídio,1,,DR
D,DU,DU319,Santo Ovídio,1,,DR
D,DU,DU320,Santo Ovídio,1,,DR
D,DU,DU321,Santo Ovídio,1,,DR
D,DU,DU322,Santo Ovídio,1,,DR
D,DU,DU323,Santo Ovídio,1,,DR
D,DU,DU324,Santo Ovídio,1,,DR
D,DU,DU325,Santo Ovídio,1,,DR
D,DU,DU326,Santo Ovídio,1,,DR
D,DU,DU327,Santo Ovídio,1,,DR
D,DU,DU328,Santo Ovídio,1,,DR
D,DU,DU329,Santo Ovídio,1,,DR
D,DU,DU330,Santo Ovídio,1,,DR
D,DU,DU331,Santo Ovídio,1,,DR
D,DU,DU332,Santo Ovídio,1,,DR
D,DU,DU333,Santo Ovídio,1,,DR
D,DU,DU334,Santo Ovídio,1,,DR
D,DU,DU335,Santo Ovídio,1,,DR
F,FDF,FDF0,Senhora da Hora,0,,FG
F,FDF,FDF1,Senhora da Hora,0,,FG
F,FDF,FDF2,Senhora da Hora,0,,FG
F,FDF,FDF3,Senhora da Hora,0,,FG
F,FDF,FDF4,Senhora da Hora,0,,FG
F,FDF,FDF5,Senhora da Hora,0,,FG
F,FDF,FDF6,Senhora da Hora,0,,FG
F,FDF,FDF7,Senhora da Hora,0,,FG
F,FDF,FDF8,Senhora da Hora,0,,FG
